file,nblyzer,extension
2358,0.00023627281188964844,0.00021028518676757812
2358,9.417533874511719e-05,0.00011873245239257812
2351,0.00013828277587890625,0.00012302398681640625
2351,8.106231689453125e-05,7.2479248046875e-05
2351,7.510185241699219e-05,7.486343383789062e-05
2351,6.29425048828125e-05,5.984306335449219e-05
1695,0.0006997585296630859,0.0006265640258789062
1695,0.0006082057952880859,0.0005357265472412109
1695,0.00031757354736328125,0.00047087669372558594
1695,0.0002682209014892578,0.0002722740173339844
172,0.00011730194091796875,9.512901306152344e-05
1220,0.00010776519775390625,8.678436279296875e-05
1220,5.197525024414062e-05,5.435943603515625e-05
883,0.00010395050048828125,9.512901306152344e-05
1079,0.0001850128173828125,0.0001747608184814453
1079,0.00012421607971191406,0.0001239776611328125
1079,0.00012731552124023438,0.00011706352233886719
1079,0.00011491775512695312,0.00010752677917480469
1079,0.000118255615234375,0.00013375282287597656
1079,0.00011491775512695312,0.00012111663818359375
1079,0.00011563301086425781,0.00011181831359863281
1079,7.128715515136719e-05,6.699562072753906e-05
1079,0.00012135505676269531,0.00010800361633300781
1079,0.00011563301086425781,0.00010609626770019531
1079,0.00012731552124023438,0.00011348724365234375
1079,0.00012731552124023438,0.00011157989501953125
1079,0.00011110305786132812,0.00010442733764648438
1851,0.0005698204040527344,0.0005452632904052734
1851,0.0006821155548095703,0.0006084442138671875
1851,0.0005505084991455078,0.0005104541778564453
1851,0.0002384185791015625,0.0002646446228027344
1851,0.00024175643920898438,0.00022077560424804688
1851,0.0005309581756591797,0.0004851818084716797
933,6.198883056640625e-05,7.390975952148438e-05
191,9.226799011230469e-05,0.0001049041748046875
2205,0.004857063293457031,0.0038144588470458984
2205,0.004751920700073242,0.003734111785888672
2205,0.004279375076293945,0.004952192306518555
2205,0.0014786720275878906,0.0013659000396728516
2205,0.001538991928100586,0.0018908977508544922
2205,0.0013391971588134766,0.0013394355773925781
1155,0.0011315345764160156,0.0011854171752929688
1155,0.0010647773742675781,0.0009446144104003906
589,0.31046295166015625,0.2985575199127197
589,0.04210996627807617,0.03739786148071289
589,0.03824043273925781,0.03543829917907715
589,0.03948545455932617,0.037293434143066406
2080,0.00024008750915527344,0.000225067138671875
2080,0.00018930435180664062,0.00017261505126953125
2080,0.0001747608184814453,0.00015735626220703125
2080,0.0002810955047607422,0.00037670135498046875
2080,0.0001933574676513672,0.00025582313537597656
1657,0.0010998249053955078,0.0010879039764404297
1657,0.0010309219360351562,0.0015025138854980469
1657,0.0005078315734863281,0.00047016143798828125
1657,0.00048065185546875,0.00044989585876464844
1657,0.001007080078125,0.0015840530395507812
1589,0.011919021606445312,0.012859344482421875
1589,0.007366657257080078,0.007601261138916016
1922,9.632110595703125e-05,0.0001628398895263672
1827,0.00013971328735351562,0.00023818016052246094
1827,6.127357482910156e-05,9.036064147949219e-05
1827,5.269050598144531e-05,7.390975952148438e-05
1827,6.580352783203125e-05,6.866455078125e-05
1827,5.364418029785156e-05,5.555152893066406e-05
1827,5.269050598144531e-05,5.102157592773438e-05
31,0.007985353469848633,0.009879112243652344
2144,6.079673767089844e-05,0.0002148151397705078
2144,5.006790161132812e-05,0.0001308917999267578
2092,0.0001380443572998047,0.00014472007751464844
2092,9.894371032714844e-05,9.632110595703125e-05
2092,6.413459777832031e-05,6.532669067382812e-05
1438,0.00014519691467285156,0.00012445449829101562
1438,9.274482727050781e-05,0.00011777877807617188
1438,5.817413330078125e-05,6.842613220214844e-05
1542,0.0002720355987548828,0.000278472900390625
1542,0.00012254714965820312,0.00011682510375976562
